orig_smiles,canonical,formal_charge,donor_atom_count,quaternary_onium_center,keep,exclusion_reason
C(C(C(C(C(CO)O)O)O)O)O,OCC(O)C(O)C(O)C(O)CO,0,6,False,True,
C1=CC=C(C=C1)CC(=O)O,O=C(O)Cc1ccccc1,0,2,False,True,
C1=CN=CN1,c1c[nH]cn1,0,2,False,True,
C1CCC(CC1)C(=O)O,O=C(O)C1CCCCC1,0,2,False,True,
C1CCC(CC1)CCC(=O)O,O=C(O)CCC1CCCCC1,0,2,False,True,
C1CSCCS1,C1CSCCS1,0,2,False,True,
C1CSCSC1,C1CSCSC1,0,2,False,True,
C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1,0,0,False,True,
C=C(CC(=O)O)C(=O)O,C=C(CC(=O)O)C(=O)O,0,4,False,True,
C=CCCCCCCCCC(=O)O,C=CCCCCCCCCC(=O)O,0,2,False,True,
C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,1,1,True,False,"quaternary onium cation (N+/P+, all-C substituents, no H) with no additional donor heteroatoms - not a plausible Co/Ni ligand"
CC(=O)C(=O)O,CC(=O)C(=O)O,0,3,False,True,
CC(=O)CCC(=O)O,CC(=O)CCC(=O)O,0,3,False,True,
CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,0,3,False,True,
CC(=O)O,CC(=O)O,0,2,False,True,
CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,1,3,True,True,
CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,0,4,False,True,
CC(=O)[O-],CC(=O)[O-],-1,2,False,True,
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0,3,False,True,
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0,2,False,True,
CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1cccc2ccccc12,0,3,False,True,
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0,1,False,True,
CC(N)=O,CC(N)=O,0,2,False,True,
CC(O)C(=O)O,CC(O)C(=O)O,0,3,False,True,
CC(O)CC(C)(C)O,CC(O)CC(C)(C)O,0,2,False,True,
CC(O)CO,CC(O)CO,0,2,False,True,
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0,1,False,True,
CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,0,1,False,True,
CC12CCC(CC1=O)C2(C)C,CC12CCC(CC1=O)C2(C)C,0,1,False,True,
CC1CCC(C(C)C)C(O)C1,CC1CCC(C(C)C)C(O)C1,0,1,False,True,
CC1CCC(C(C1)O)C(C)C,CC1CCC(C(C)C)C(O)C1,0,1,False,True,
CCC(=O)O,CCC(=O)O,0,2,False,True,
CCCC(=O)O,CCCC(=O)O,0,2,False,True,
CCCCC(=O)O,CCCCC(=O)O,0,2,False,True,
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,0,2,False,True,
CCCCCC(=O)O,CCCCCC(=O)O,0,2,False,True,
CCCCCCCC(=O)O,CCCCCCCC(=O)O,0,2,False,True,
