Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",predicted_Tmelt_K,uncertainty_K,similarity_score,screening_status,passes_DES_rule,violation_T1,violation_T2,RoomTemp_flag,WarmTemp_flag,feature_extrapolation,high_uncertainty,physically_reasonable,ranking_score_room,ranking_score_warm
butyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.076923,0.923077,182.51,182.43736,21.82,0.7459,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(trioctyl)azanium;chloride,"benzene-1,4-diol",0.5,0.5,195.15,195.49387,27.31,0.4306,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,True,True,,
tetrabutylazanium;bromide,2-[bis(2-hydroxyethyl)amino]ethanol,0.25,0.75,196.57,198.23154,19.82,0.8609,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetraheptylazanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.7,0.3,200.33,200.7011,27.77,0.404,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,True,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.111111,0.888889,203.86,204.90443,19.17,0.8982,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.1111,0.8889,203.9,203.54518,19.17,0.8982,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetrabutylazanium;bromide,2-(2-hydroxyethylamino)ethanol,0.142857,0.857143,205.39,206.09378,21.12,0.7865,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.090909,0.909091,206.11,205.51602,19.54,0.8769,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.066667,0.933333,206.37,206.90604,20.88,0.8001,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(trioctyl)azanium;chloride,4-hydroxybenzonitrile,0.3333,0.6667,210.15,210.35545,28.57,0.3579,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,True,True,,
methyl(trioctyl)azanium;chloride,4-hydroxybenzonitrile,0.5,0.5,211.15,210.94037,27.68,0.409,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,True,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.142857,0.857143,211.16,210.70552,20.57,0.8177,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"propane-1,2,3-triol",0.25,0.75,212.3,212.0999,21.09,0.7877,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"propane-1,2,3-triol",0.2,0.8,213.6,215.04797,21.08,0.7882,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.245,0.755,216.279,216.78998,21.41,0.7697,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.199,0.801,220.155,219.95908,21.59,0.759,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.284,0.716,221.705,221.29774,21.14,0.7851,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"propane-1,2,3-triol",0.3333,0.6667,221.8,221.72244,21.13,0.7857,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.2,0.8,223.81,223.07077,19.68,0.869,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.2,0.8,223.88,224.79175,22.64,0.6991,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.166667,0.833333,224.6,224.78374,19.78,0.8632,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
