Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",predicted_Tmelt_K,uncertainty_K,similarity_score,screening_status,passes_DES_rule,violation_T1,violation_T2,RoomTemp_flag,WarmTemp_flag,feature_extrapolation,high_uncertainty,physically_reasonable,ranking_score_room,ranking_score_warm
butyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.076923,0.923077,182.51,183.08896,19.99,0.7145,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(trioctyl)azanium;chloride,"benzene-1,4-diol",0.5,0.5,195.15,195.29904,22.2,0.5724,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetrabutylazanium;bromide,2-[bis(2-hydroxyethyl)amino]ethanol,0.25,0.75,196.57,197.88379,20.89,0.6571,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetraheptylazanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.7,0.3,200.33,200.85397,25.36,0.3694,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,True,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.111111,0.888889,203.86,207.10458,16.09,0.9656,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.1111,0.8889,203.9,203.75111,16.09,0.9656,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetrabutylazanium;bromide,2-(2-hydroxyethylamino)ethanol,0.142857,0.857143,205.39,205.90816,19.03,0.7767,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.090909,0.909091,206.11,204.76082,16.2,0.9584,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.066667,0.933333,206.37,206.82634,16.6,0.9324,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(trioctyl)azanium;chloride,4-hydroxybenzonitrile,0.3333,0.6667,210.15,209.98863,20.83,0.6608,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(trioctyl)azanium;chloride,4-hydroxybenzonitrile,0.5,0.5,211.15,211.12888,21.0,0.6499,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.142857,0.857143,211.16,209.55247,16.51,0.9384,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"propane-1,2,3-triol",0.25,0.75,212.3,212.80682,18.37,0.8189,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"propane-1,2,3-triol",0.2,0.8,213.6,213.0132,18.96,0.7812,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.245,0.755,216.279,216.73419,17.9,0.8493,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.199,0.801,220.155,219.84525,18.66,0.8,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.284,0.716,221.705,221.27061,17.68,0.8632,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"propane-1,2,3-triol",0.3333,0.6667,221.8,221.30254,18.45,0.8135,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.2,0.8,223.81,223.3646,17.25,0.8909,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.2,0.8,223.88,222.99968,17.14,0.8982,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.166667,0.833333,224.6,227.93213,17.44,0.879,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"ethane-1,2-diol",0.25,0.75,225.7,225.56653,20.83,0.661,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.331,0.669,226.357,226.744,17.94,0.8464,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.25,0.75,226.9,227.37021,17.39,0.882,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.29,0.71,229.0,230.57298,17.01,0.9061,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
methyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.333333,0.666667,230.03,233.00566,17.3,0.888,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetrabutylazanium;chloride,"propane-1,2,3-triol",0.166667,0.833333,230.37,229.51231,17.83,0.8534,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetrabutylazanium;chloride,"propane-1,2,3-triol",0.2,0.8,230.54,235.059,17.67,0.8639,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
tetrabutylazanium;chloride,"propane-1,2,3-triol",0.25,0.75,231.51,228.86726,18.13,0.8345,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
azanium;thiocyanate,"propane-1,2,3-triol",0.4,0.6,234.5,235.0077,19.36,0.755,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",0.2,0.8,236.71,240.39432,16.83,0.9178,OUTSIDE_TARGET_RANGE,True,False,False,False,False,False,False,True,,
