Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",predicted_Tmelt_K,uncertainty_K,similarity_score,screening_status,passes_DES_rule,violation_T1,violation_T2,RoomTemp_flag,WarmTemp_flag,feature_extrapolation,high_uncertainty,physically_reasonable,ranking_score_room,ranking_score_warm
2-hydroxyethyl(trimethyl)azanium;chloride,propanedioic acid,0.5,0.5,283.15,286.03226,17.9,0.9713,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,98.439,
trioctylphosphine oxide,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.349,0.651,285.981,286.20392,18.28,0.9497,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,97.727,
"1,3-dithiane","1,2,3,4-tetrafluoro-5,6-diiodobenzene",0.496,0.504,286.873,286.98148,18.22,0.9529,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,97.691,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,0.6975,0.3025,286.9,286.53702,18.46,0.939,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,97.527,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,0.6,0.4,284.21,285.96558,18.31,0.9476,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,97.432,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,0.1,0.9,286.0,286.04974,18.45,0.9395,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,97.183,
5-methyl-2-propan-2-ylphenol,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.7,0.3,281.3,283.59854,17.69,0.9833,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.772,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,0.7,0.3,287.92,287.74313,18.33,0.9464,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.759,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,0.6977,0.3023,288.4,288.28146,18.14,0.9577,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.736,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,0.7,0.3,288.0,288.62424,18.12,0.9584,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.462,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,0.5,0.5,287.0,284.9519,18.4,0.9426,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.338,
trioctylphosphine oxide,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.207,0.793,288.232,289.37775,17.99,0.9664,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.117,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,0.1,0.9,283.535,284.5638,18.37,0.9442,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.06,
5-methyl-2-propan-2-ylphenol,decanoic acid,0.49,0.51,287.84,288.3846,18.42,0.9416,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.001,
5-methyl-2-propan-2-ylphenol,tetradecan-1-ol,0.499,0.501,289.9,289.3797,18.06,0.9621,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.943,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,0.7,0.3,289.19,288.67374,18.38,0.9437,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.83,
2-hydroxyethyl(trimethyl)azanium;chloride,urea,0.333,0.667,284.22,286.1941,19.16,0.899,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.69,
5-methyl-2-propan-2-ylphenol,decanoic acid,0.5,0.5,290.15,289.55536,18.16,0.9564,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.56,
5-methyl-2-propan-2-ylphenol,octanoic acid,0.1,0.9,285.13,285.0643,18.83,0.9178,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.445,
decanoic acid,(Z)-octadec-9-enoic acid,0.1,0.9,285.39,285.40604,18.98,0.9092,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.403,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,0.2,0.8,284.0,283.94656,18.44,0.9401,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.351,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",tetradecan-1-ol,0.7,0.3,290.6,289.42612,18.36,0.9451,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.222,
tetrabutylazanium;chloride,tetradecanoic acid,0.506,0.494,285.1,284.82388,19.03,0.9065,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.781,
5-methyl-2-propan-2-ylphenol,octanoic acid,0.5,0.5,284.16,283.97223,18.78,0.9209,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.606,
5-methyl-2-propan-2-ylphenol,undec-10-enoic acid,0.6,0.4,289.65,289.80676,18.51,0.9364,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.538,
