Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",predicted_Tmelt_K,uncertainty_K,similarity_score,screening_status,passes_DES_rule,violation_T1,violation_T2,RoomTemp_flag,WarmTemp_flag,feature_extrapolation,high_uncertainty,physically_reasonable,ranking_score_room,ranking_score_warm
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,0.5,0.5,287.0,285.86176,16.52,0.9378,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.949,
5-methyl-2-propan-2-ylphenol,decanoic acid,0.49,0.51,287.84,288.4073,16.33,0.9499,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.313,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,0.6977,0.3023,288.4,287.9302,16.58,0.9338,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,96.09,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,0.7,0.3,288.0,288.1313,16.59,0.9336,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,95.905,
2-hydroxyethyl(trimethyl)azanium;chloride,2-methylphenol,0.091,0.909,283.0,284.43716,16.81,0.9191,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.944,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,0.6975,0.3025,286.9,286.9619,17.41,0.8806,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.816,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,0.1,0.9,286.0,286.2126,17.48,0.8763,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.798,
5-methyl-2-propan-2-ylphenol,decanoic acid,0.45,0.55,289.87,289.096,16.69,0.9267,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.777,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,0.6,0.4,284.21,286.38583,17.64,0.8659,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.535,
5-methyl-2-propan-2-ylphenol,decanoic acid,0.5,0.5,290.15,290.71616,16.32,0.9505,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.3,
5-methyl-2-propan-2-ylphenol,undec-10-enoic acid,0.6,0.4,289.65,289.22028,16.84,0.9172,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.288,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,0.6,0.4,279.0,282.3394,16.37,0.9477,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.237,
2-hydroxyethyl(trimethyl)azanium;chloride,urea,0.333,0.667,284.22,285.62735,17.51,0.8743,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.202,
tetrabutylazanium;chloride,tetradecanoic acid,0.506,0.494,285.1,286.53726,17.85,0.8524,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,94.063,
5-methyl-2-propan-2-ylphenol,octanoic acid,0.1,0.9,285.13,285.30408,17.48,0.8763,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.997,
2-hydroxyethyl(trimethyl)azanium;chloride,phenol,0.119,0.881,279.3,282.28326,16.51,0.9387,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.827,
2-hydroxyethyl(trimethyl)azanium;chloride,"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.6,0.4,286.15,287.68042,17.64,0.8661,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.602,
2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.666667,0.333333,288.15,288.72757,17.3,0.8879,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.55,
5-methyl-2-propan-2-ylphenol,undec-10-enoic acid,0.3333,0.6667,283.15,282.9783,16.92,0.9119,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.369,
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.099,0.901,287.75,286.6586,18.11,0.8356,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.284,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,0.7,0.3,289.19,288.00198,17.7,0.8619,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.151,
octanoic acid,dodecanoic acid,0.904,0.096,285.275,285.23288,17.8,0.8553,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.094,
Lidocaine,DL-camphor,0.46,0.54,290.6,290.71033,16.83,0.9182,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,93.013,
2-hydroxyethyl(trimethyl)azanium;chloride,propanedioic acid,0.5,0.5,283.15,283.40573,17.22,0.8928,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,92.982,
Caprylic Acid,Capric Acid,0.5,0.5,286.84,287.26,18.08,0.8378,PASS_ROOMTEMP,True,False,False,True,False,False,False,True,92.841,
