Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",predicted_Tmelt_K,uncertainty_K,similarity_score,screening_status,passes_DES_rule,violation_T1,violation_T2,RoomTemp_flag,WarmTemp_flag,feature_extrapolation,high_uncertainty,physically_reasonable,ranking_score_room,ranking_score_warm
Glutaric Acid,[N2222]Br,0.621,0.379,319.9,320.0196,16.28,0.9536,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,97.72
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol",0.332,0.668,323.6,320.39105,17.07,0.9024,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,96.0
hexadecanoic acid,tetradecanoic acid,0.3016,0.6984,320.42,320.3917,17.08,0.902,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.984
hexadecanoic acid,tetradecanoic acid,0.3502,0.6498,320.64,320.8368,17.02,0.9058,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.935
tetraethylazanium;chloride,dodecanoic acid,0.401,0.599,320.68,316.8824,15.93,0.9756,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.832
tetramethylazanium;chloride,tetradecanoic acid,0.253,0.747,319.65,318.99588,16.66,0.9289,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.829
2-hydroxyethyl(trimethyl)azanium;chloride,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",0.524,0.476,320.312,318.68933,16.58,0.9339,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.758
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,0.446,0.554,317.4,317.97412,16.35,0.9486,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.715
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,0.201,0.799,321.95,320.54968,17.2,0.8939,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.712
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,0.449,0.551,317.03,317.9114,16.34,0.9496,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.7
tetraethylazanium;chloride,hexadecanoic acid,0.288,0.712,316.02,318.55243,16.61,0.9321,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.566
hexadecanoic acid,tetradecanoic acid,0.3956,0.6044,321.18,320.7914,17.19,0.8945,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.523
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,0.396,0.604,320.95,321.2727,17.04,0.9044,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.494
tetramethylazanium;chloride,tetradecanoic acid,0.205,0.795,318.4,319.2339,16.89,0.9143,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.455
tetraethylazanium;chloride,tetradecanoic acid,0.206,0.794,321.06,320.7668,17.25,0.8911,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.409
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,0.491,0.509,323.3,322.74738,16.57,0.9346,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.401
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,0.408,0.592,320.78,321.30063,17.12,0.8993,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.266
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,0.399,0.601,320.45,321.13345,17.19,0.895,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.241
tetraethylazanium;chloride,tetradecanoic acid,0.188,0.812,320.35,321.2085,17.19,0.895,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.175
hexadecanoic acid,tetradecanoic acid,0.5501,0.4499,321.27,321.19473,17.24,0.8916,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.051
hexadecanoic acid,tetradecanoic acid,0.2797,0.7203,319.96,320.96237,17.33,0.8856,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.016
2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.503,0.497,322.22,321.13806,17.28,0.8891,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,95.001
Pimelic Acid,[N3333]Br,0.55,0.45,319.8,320.83533,17.39,0.8821,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,94.988
hexadecan-1-ol,5-methyl-2-propan-2-ylphenol,0.897,0.103,320.8,320.67087,17.46,0.8772,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,94.937
tetrapropylazanium;chloride,hexadecanoic acid,0.406,0.594,321.91,317.97302,16.66,0.9289,PASS_WARMTEMP,True,False,False,False,True,False,False,True,,94.926
