Feature,Importance
Type of DES_IL,0.35092598
Phase diagram (Yes/No)_Yes,0.15565561
C1_LogP,0.10891238
T#1,0.09750964
X#2 (molar fraction),0.043211594
T#2,0.034142412
X#1 (molar fraction),0.03358978
C2_HBA,0.02832066
C1_TPSA,0.021207118
C2_HBD,0.019952187
Type of DES_5,0.015914299
C2_TPSA,0.014487722
C1_HBA,0.01042016
C1_MolWt,0.009954467
C2_MolWt,0.009545421
C1_RingCount,0.008616048
C2_RingCount,0.008367434
C2_LogP,0.008170147
C1_RotBonds,0.007943476
C1_HBD,0.007202956
C2_RotBonds,0.005950518
Number of components,0.0
