Feature,Importance
C1_LogP,0.2978157185756011
X#1 (molar fraction),0.2633384997272598
X#2 (molar fraction),0.11197647174002653
Phase diagram (Yes/No)_Yes,0.06657744972508835
C2_HBA,0.043194446839377364
C2_MolWt,0.03882065959119001
C2_TPSA,0.03275074454798397
Type of DES_IL,0.02500316553934142
C2_LogP,0.02475294024495644
C1_TPSA,0.022667933846922703
C2_RotBonds,0.016095558985547435
C1_MolWt,0.013568963979559335
C2_RingCount,0.011979434849089574
C1_RotBonds,0.008901247898237832
C2_HBD,0.005824708722038977
C1_HBD,0.0053121393310718145
C1_HBA,0.005306786586443286
Type of DES_5,0.0035438068418254783
C1_RingCount,0.0025693224284385123
Number of components,0.0
