Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
2-Methylpentane,CC(C)CCC,107-83-5,4.91,0.6841,0,low-fidelity RED
"1,Cis-2,Trans-3-Trimethylcyclohexane",[C@H]1([C@@H](C)CCC[C@@H]1C)C,7667-55-2,5.209,0.9135,0.6000000000000005,low-fidelity RED
Methane (Liquid B.P.),[H]C([H])([H])[H],74-82-8,5.045,0.6277,0.30207614933986415,high-fidelity RED
Hexamethyldisilazane,[Si](C)(C)(C)N[Si](C)(C)C,999-97-3,5.387,0.7918,0.9813893213195258,low-fidelity RED
Decamethylcyclopentasiloxane,[Si]1(C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](O1)(C)C,541-02-6,5.413,0.7408,0.9290452088031019,high-fidelity RED
"2-Bromo-2,3-Dimethylbutane",BrC(C)(C)C(C)C,594-52-5,5.35,0.9611,0.8280247580839597,low-fidelity RED
2-Bromo-2-Methylpentane,BrC(C)(C)CCC,4283-80-1,4.993,0.9104,0.9750000000000002,low-fidelity RED
"2-Bromo-3,3-Dimethylbutane",BrC(C)C(C)(C)C,26356-06-9,5.335,0.8043,0.954594154601839,low-fidelity RED
1-Bromoeicosane,BrCCCCCCCCCCCCCCCCCCCC,4276-49-7,4.981,0.8518,0.9804335775563787,low-fidelity RED
1-Bromoheneicosane,BrCCCCCCCCCCCCCCCCCCCCC,4276-50-0,4.981,0.8518,0.9804335775563787,low-fidelity RED
1-Bromodocosane,BrCCCCCCCCCCCCCCCCCCCCCC,6938-66-5,4.981,0.8518,0.9804335775563787,low-fidelity RED
1-Bromotricosane,BrCCCCCCCCCCCCCCCCCCCCCCC,62108-44-5,4.981,0.8518,0.9902651160169178,low-fidelity RED
1-Bromotetracosane,BrCCCCCCCCCCCCCCCCCCCCCCCC,6946-24-3,4.981,0.8518,0.9414085191881363,low-fidelity RED
1-Bromopentacosane,BrCCCCCCCCCCCCCCCCCCCCCCCCC,62108-45-6,4.981,0.8518,0.9516433155337138,low-fidelity RED
1-Bromohexacosane,BrCCCCCCCCCCCCCCCCCCCCCCCCCC,4276-51-1,4.981,0.8518,0.9100137361600655,low-fidelity RED
1-Bromoheptacosane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-46-7,4.981,0.8518,0.908639092269313,low-fidelity RED
1-Bromooctacosane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCC,16331-21-8,4.981,0.8518,0.8721381771256211,low-fidelity RED
1-Bromononacosane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-47-8,4.981,0.8518,0.8824681297361403,low-fidelity RED
1-Bromotriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,4209-22-7,4.981,0.8518,0.8721381771256211,low-fidelity RED
1-Bromohentriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-48-9,4.981,0.8518,0.8803408430829511,low-fidelity RED
1-Bromodotriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,7596-92-1,4.981,0.8518,0.8477912478906593,low-fidelity RED
1-Bromotritriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-49-0,4.981,0.8518,0.8576858399204229,low-fidelity RED
1-Bromotetratriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-50-3,4.981,0.8518,0.8038967595406765,low-fidelity RED
1-Bromopentatriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-51-4,4.981,0.8518,0.8192984804086971,low-fidelity RED
1-Bromohexatriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,7461-19-0,4.981,0.8518,0.7874007874011812,low-fidelity RED
1-Bromoheptatriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-52-5,4.981,0.8518,0.8415016339853425,low-fidelity RED
1-Bromooctatriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-53-6,4.981,0.8518,0.7972609359550988,low-fidelity RED
1-Bromononatriacontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-54-7,4.981,0.8518,0.7941190087134297,low-fidelity RED
1-Bromotetracontane,BrCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,62108-55-8,4.981,0.8518,0.7721722605740251,low-fidelity RED
"1,Trans-2,Cis-4-Trimethylcyclopentane",C([C@@H](C1)C)[C@@H](C)[C@@H]1C,16883-48-0,5.106,0.8901,0.4500000000000002,low-fidelity RED
"1,Cis-2,Cis-4-Trimethylcyclopentane",C([C@@H](C1)C)[C@@H](C)[C@H]1C,2613-72-1,5.106,0.8901,0.4500000000000002,low-fidelity RED
"1,Trans-3-Dimethylcyclobutane",C([C@@H](C1)C)[C@@H]1C,10/9/98 0:00,5.157,0.7782,0.5,low-fidelity RED
"1,Trans-2,Cis-3,Trans-4-Tetramethylcyclopentane",C([C@H](C)[C@H]1C)[C@H](C)[C@H]1C,2532-67-4,5.627,0.864,0.35000000000000053,low-fidelity RED
"1,1,Cis-3,Cis-4-Tetramethylcyclopentane",C([C@H](C)[C@H]1C)C(C1)(C)C,20309-77-7,5.562,1.023,0.4500000000000002,low-fidelity RED
"1,Cis-3-Dimethylcyclobutane",C([C@H](C1)C)[C@@H]1C,9/6/98 0:00,5.157,0.7782,0.5,low-fidelity RED
"1,Trans-2-Dimethylcyclopropane",C([C@H]1C)[C@H]1C,6/4/02 0:00,5.445,0.801,0.35000000000000053,low-fidelity RED
1-Methyl-Trans-2-Ethylcyclopropane,C([C@H]1C)[C@H]1CC,19781-69-2,5.548,0.8909,0.4500000000000002,low-fidelity RED
6-Methyl-Trans-3-Heptene,C(/CC(C)C)=C/CC,66225-20-5,5.305,1.005,0.8276472678623424,low-fidelity RED
2-Methyl-Trans-3-Heptene,C(/CCC)=C/C(C)C,692-96-6,5.666,0.9605,0.8015609770940698,low-fidelity RED
"2,2,4,4,6,6 Pentamethyl-3-Heptene",C(=C(/CC(C)(C)C)C)\C(C)(C)C,123-48-8,5.967,0.9801,0.2828427124746191,low-fidelity RED
"3,4,4-Trimethyl-Trans-2-Pentene",C(=C(C)C(C)(C)C)C,39761-57-4,5.691,0.7828,0.5226136240091718,low-fidelity RED
