Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Carbon Disulfide (P By Group Cont.),S=C=S,75-15-0,3.918,0.742,0,high-fidelity RED
"1,1'-Biphenyl, 2,2'-Dinitro-",[O-][N+](=O)c1ccccc1c2ccccc2[N+]([O-])=O,2436-96-6,5.79,0.9517,0.9974968671630002,low-fidelity RED
2-Nitrobiphenyl,[O-][N+](C1=C(C2=CC=CC=C2)C=CC=C1)=O,86-00-0,5.473,1.016,0.8616843969807042,low-fidelity RED
"3,4-Dichloronitrobenzene",[O-][N+](C1=CC(Cl)=C(Cl)C=C1)=O,99-54-7,5.922,1.205,0.9476945710512433,high-fidelity RED
4-Nitrobiphenyl,[O-][N+](C1=CC=C(C2=CC=CC=C2)C=C1)=O,92-93-3,6.182,1.015,0.9965565713997373,low-fidelity RED
m-Nitrostyrene,[O-][N+](C1=CC=CC(C=C)=C1)=O,586-39-0,5.821,1.211,0.9877373132569204,low-fidelity RED
"1,1,1-Tribromoethane",BrC(Br)(Br)C,2311-14-0,5.068,0.7376,0.8370334521391603,low-fidelity RED
"1,1,1-Tribromopropane",BrC(Br)(Br)CC,62127-61-1,5.044,0.7816,0.8999999999999992,low-fidelity RED
"1,2,2-Tribromopropane",BrC(Br)(C)CBr,14476-30-3,5.03,0.9456,0.9253377761660869,low-fidelity RED
"1,3,3-Tribromobutane",BrC(Br)(C)CCBr,62127-46-2,5.064,0.8161,0.9864709828474428,low-fidelity RED
o-Bromotoluene,BrC(C=CC=C1)=C1C,95-46-5,5.918,0.9106,0.9695359714832655,high-fidelity RED
Bromotrichloro Methane #3,BrC(Cl)(Cl)Cl,75-62-7,4.021,0.7417,0.9965565713997365,high-fidelity RED
m-Dibromobenzene,BrC1=CC(Br)=CC=C1,108-36-1,6.155,0.9562,0.887764045228235,low-fidelity RED
1-Bromo-3-Chlorobenzene,BrC1=CC(Cl)=CC=C1,108-37-2,5.544,1.002,0.7267220926874313,low-fidelity RED
p-Bromotoluene,BrC1=CC=C(C)C=C1,106-38-7,5.85,0.7628,0.9581883948368396,high-fidelity RED
p-Bromochlorobenzene,BrC1=CC=C(Cl)C=C1,106-39-8,5.465,0.8791,0.9526279441628825,low-fidelity RED
Bromobenzene,BrC1=CC=CC=C1,108-86-1,5.88,0.7973,0.9453835200594516,high-fidelity RED
"Benzene, 1,2,4-Trichloro-5-Methoxy-",C1(=CC(=C(Cl)C=C1Cl)Cl)OC,6130-75-2,5.504,1.06,0.9943590900675668,low-fidelity RED
"9,10-Dihydroanthracene",C1(C=CC=C2)=C2CC(C=CC=C3)=C3C1,613-31-0,6.564,0.9157,0.9420721840708384,low-fidelity RED
Cis-Azobenzene,C1(N=N/C2=CC=CC=C2)=CC=CC=C1,1080-16-6,6.069,0.7935,0.8638576271585496,low-fidelity RED
Trans-Azobenzene,C1(N=N\C2=CC=CC=C2)=CC=CC=C1,103-33-3,6.069,0.7935,0.8638576271585496,low-fidelity RED
Diphenyl Sulfide,C1(SC2=CC=CC=C2)=CC=CC=C1,139-66-2,5.943,0.747,0.9467048114380746,low-fidelity RED
"2,4-Dichloro-3-Fluoronitrobenzene",C1=CC(=C(C(=C1[N+](=O)[O-])Cl)F)Cl,393-79-3,4.694,1.13,0.9656603957913984,high-fidelity RED
"2,3,4-Trifluoro Nitrobenzene",C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F,771-69-7,5.357,1.024,0.8895223437328597,high-fidelity RED
"3,4-Dichloro Alpha,Alpha,a-Trifluorotoluene",C1=CC(=C(C=C1C(F)(F)F)Cl)Cl,328-84-7,4.331,1.067,0.5297405025104273,high-fidelity RED
"2,5-Dichlorobenzotrifluoride",C1=CC(=C(C=C1Cl)C(F)(F)F)Cl,320-50-3,4.083,1.018,0.5297405025104273,high-fidelity RED
"1,2,4-Trichlorobenzene ",C1=CC(=C(C=C1Cl)Cl)Cl,120-82-1,5.551,0.7782,0.7778174593052023,high-fidelity RED
Miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,22916-47-8,5.77,1.347,0.9334077351297235,low-fidelity RED
"P,P' -Dde",C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,72-55-9,5.276,1.03,0.698659430624106,low-fidelity RED
"P,P' -Ddd",C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,72-54-8,5.696,1.079,0.7305819598101229,low-fidelity RED
4-Chlorobenzotrichloride,C1=CC(=CC=C1C(Cl)(Cl)Cl)Cl,5216-25-1,5.076,1.044,0.755810822891549,high-fidelity RED
"4,4'-Methylenebis(Phenylisocyanate)",C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,101-68-8,6.311,1.164,0.5442885264269308,high-fidelity RED
4-Methyl-(1-Thiaethyl)-Benzene,C1=CC(=CC=C1SC)C,623-13-2,5.749,0.8355,0.8558621384311844,low-fidelity RED
4-Methyl-(1-Thiapropyl)-Benzene,C1=CC(=CC=C1SCC)C,622-63-9,5.939,0.9131,0.8696263565463039,low-fidelity RED
Heptachlor,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,76-44-8,5.656,1.05,0.30618621784789724,low-fidelity RED
"Ddt  P,P' -Ddt O,P' -Ddt  O,P' -Ddt ",C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,789-02-6,5.282,1.193,0.8444672877027269,low-fidelity RED
o-Chlorofluorobenzene,C1=CC=C(C(=C1)F)Cl,348-51-6,4.824,0.891,0.8429857650043681,high-fidelity RED
2-Naphthyl Phenyl Ketone,C1=CC=C(C=C1)C(=O)C2=CC3=CC=CC=C3C=C2,644-13-3,7.265,1.023,0.9250000000000003,low-fidelity RED
Glyceryl Tribenzoate,C1=CC=C(C=C1)C(=O)OCC(COC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3,614-33-5,8.089,1.133,0.8455767262643878,low-fidelity RED
Trichlorobiphenyl,C1=CC=C(C=C1)C2=C(C(=C(C=C2)Cl)Cl)Cl,55702-46-0,5.628,0.9577,0.950657667091577,high-fidelity RED
"Benzoic Acid, 2-Benzoyl-, Methyl Ester",C1=CC=CC=C1C(C2=C(C(OC)=O)C=CC=C2)=O,606-28-0,6.274,1.033,0.9759610647971567,low-fidelity RED
(1-Thiapropyl)-Benzene,C1=CC=CC=C1SCC,622-38-8,5.881,0.8252,0.9154916711800275,low-fidelity RED
Anthone,C1=CC=CC2=C1CC3=C(C2=O)C=CC=C3,90-44-8,7.121,1.0,0.9082951062292475,low-fidelity RED
Acridine,C12=CC=CC=C1N=C3C(C=CC=C3)=C2,260-94-6,6.674,0.9411,0.3544361719689457,high-fidelity RED
Dibenzofuran,C13=C(C=CC=C3)OC2=C1C=CC=C2,132-64-9,6.612,0.9325,0.825,low-fidelity RED
Biphenylene ,C13=CC=CC=C1C2=CC=CC=C23,259-79-0,6.226,0.7629,0.9585144756340407,low-fidelity RED
Chlordane  Trans Cis    ,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,12789-03-6,5.632,0.9725,0.7470776398741967,low-fidelity RED
Aldrin,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,309-00-2,5.551,0.9906,0.9199184746487044,low-fidelity RED
"1,2,3,6,7,8 Hexahydropyrene",C4C2=CC=C1C3=C(CCC1)C=CC(=C23)CC4,1732-13-4,5.783,0.8544,0.9082951062292473,low-fidelity RED
Cyproterone Acetate,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,,6.803,1.43,0.8877640452282346,low-fidelity RED
Chlormadinone Acetate,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)OC(=O)C,302-22-7,6.555,1.412,0.9633924433998842,low-fidelity RED
4-(Trifluoromethyl) Acetophenone,CC(=O)C1=CC=C(C=C1)C(F)(F)F,709-63-7,5.556,1.112,0.9130991183874831,high-fidelity RED
Acetyl Tetralin,CC(=O)C1=CC2=C(CCCC2)C=C1,774-55-0,6.951,1.037,0.46770717334674194,low-fidelity RED
