Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Ethylene Glycol Monomethyl Ether,COCCO,109-86-4,5.38,0.7342,0,high-fidelity RED
Formic Acid,[H]C(O)=O,64-18-6,6.064,0.7242,0.8689073598491386,high-fidelity RED
3-Bromo-3-Buten-1-ol,Br/C(=C)CCO,76334-36-6,7.133,0.9629,0.9902651160169187,low-fidelity RED
2-Bromopopanoic Acid,BrC(C)C(O)=O,598-72-1,6.006,0.8847,0.9017344398435714,low-fidelity RED
"1-Propanol, 3-Bromo-",BrCCCO,627-18-9,7.297,0.8609,0.8692669325356852,low-fidelity RED
Cis-2-Methyl-2-Butenoic Acid,C(=C(\C(=O)O)C)/C,565-63-9,5.859,0.7935,0.7685213074469697,low-fidelity RED
Isocyanic Acid,C(=N)=O,75-13-8,5.41,0.8595,0.6805328794408101,high-fidelity RED
Acetoxyacetic Acid,C(=O)(OCC(O)=O)C,13831-30-6,6.511,0.8494,0.8192984804086965,low-fidelity RED
2-Bromobutanoic Acid,C(C(C(O)=O)Br)C,80-58-0,6.327,0.9299,0.7449832212875663,low-fidelity RED
"2,3-Dichloropropanol",C(C(CCl)Cl)O,616-23-9,5.977,0.9217,0.7968688725254613,high-fidelity RED
"1,3-Dichloro-2-Propanol",C(C(CCl)O)Cl,96-23-1,5.93,0.8716,0.8678277478854892,high-fidelity RED
"3-Methyl-1,3-Butanediol",C(C)(C)(CCO)O,2568-33-4,7.096,0.7865,0.6025985396596978,low-fidelity RED
3-Methyl-2-Butenoic Acid,C(C)(C)=CC(=O)O,541-47-9,5.8,0.935,0.7685213074469697,low-fidelity RED
"2,2,4-Trimethyl-1,3-Pentanediol",C(C)(C)C(C(CO)(C)C)O,144-19-4,6.547,0.9848,0.9424038412485382,low-fidelity RED
3-Chloro Allyl Alcohol,C(C=CCl)O,29560-84-7,5.74,0.8658,0.8810505093353048,high-fidelity RED
4-Aminobutyric Acid,C(CC(=O)O)CN,56-12-2,6.783,0.9532,0.47762432936356963,low-fidelity RED
"1,9-Nonanediol",C(CCCCO)CCCCO,3937-56-2,7.59,0.7067,0.3363406011768428,high-fidelity RED
"Hexane 1,6 Diol",C(CCCO)CCO,629-11-8,7.59,0.7067,0.7176350047203665,high-fidelity RED
Ethylene Chlorohydrin,C(CCl)O,107-07-3,6.147,0.7552,0.7262919523166971,high-fidelity RED
1-Aminocyclopropane Carboxylic Acid,C(O)(=O)C1(CC1)(N),22059-21-8,6.037,0.9254,0.7733854149129009,high-fidelity RED
"1,2-Ethanediol Monoacetate",C(OCCO)(C)=O,542-59-6,7.463,0.8431,0.6149186938124429,low-fidelity RED
2-Amino-2-Methyl-1-Propanol,C[C](N)(C)CO,124-68-5,6.279,0.945,0.34820970692960257,low-fidelity RED
Hexylene Glycol,C[C](O)(C)CC(O)C,107-41-5,6.988,0.8232,0.4802343178074632,low-fidelity RED
