Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Furfural,[H]C(C1=CC=CO1)=O,98-01-1,6.464,0.7941,0,high-fidelity RED
3-Cyanopyridine,C1=CC(=CN=C1)C#N,100-54-9,6.731,1.171,0.5963430220938276,low-fidelity RED
2-Cyanopyridine,C1=CC=NC(=C1)C#N,100-70-9,6.987,1.111,0.5963430220938276,low-fidelity RED
4-Cyanopyridine,C1=CN=CC=C1C#N,100-48-1,6.614,1.108,0.5963430220938276,low-fidelity RED
2-Furonitrile,C1=COC(=C1)C#N,617-90-3,6.666,1.086,0.7818247885555946,high-fidelity RED
2-Cyanopyrimidine,c1cnc(nc1)C#N,14080-23-0 ,6.691,1.037,0.743723739032176,low-fidelity RED
Vinylethylene Carbonate,C1OC(=O)OC1(C=C),4427-96-7,7.971,1.126,0.8732124598286491,low-fidelity RED
2-Acetyl Pyrazine,CC(=O)C1=NC=CN=C1,22047-25-2,7.15,1.219,0.7607562027351468,low-fidelity RED
2-Acetyl-2-Thiazoline,CC(=O)C1=NCCS1,29926-41-8,6.588,1.004,0.5755432216610671,low-fidelity RED
Acetyl Methyl Anthranilate,CC(=O)NC1=CC=CC=C1C(=O)OC,8/6/19 0:00,7.002,1.042,0.9100137361600646,low-fidelity RED
Timolol,CC(C)(C)NC[C@@H](COc1c(nsn1)N2CCOCC2)O,26839-75-8,7.002,1.462,0.8388980867781262,low-fidelity RED
Dimedone,CC(CC(C1)=O)(CC1=O)C,126-81-8,6.695,1.009,0.4743416490252574,low-fidelity RED
Epoxyoxophorone,CC1(CC(=O)C2C(C1=O)(O2)C)C,38284-11-6,7.19,1.152,0.7586995452746762,low-fidelity RED
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,51481-61-9,7.129,1.545,0.7794228634059948,low-fidelity RED
5-Methyl Furfural,CC1=CC=C(O1)C=O,620-02-0,6.727,0.9718,0.8518362518700414,low-fidelity RED
Bread Thiophene,CC1=CC=C(S1)C=O,13679-70-4,6.544,1.1,0.9721111047611788,low-fidelity RED
2-Acetyl-6-Methyl Pyrazine,CC1=NC(=CN=C1)C(=O)C,22047-26-3,7.271,1.128,0.9222933372848358,low-fidelity RED
2-Acetyl-5-Methyl Pyrazine,CC1=NC=C(N=C1)C(=O)C,22047-27-4,7.121,1.193,0.9222933372848358,low-fidelity RED
4-Acetyl-2-Methyl Pyrimidine,CC1=NC=CC(=N1)C(=O)C,67860-38-2,7.639,1.208,0.9222933372848358,low-fidelity RED
2-Acetyl-3-Methyl Pyrazine,CC1=NC=CN=C1C(=O)C,23787-80-6,6.753,1.072,0.9222933372848358,low-fidelity RED
