Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
N-Ethyl-2-Pyrrolidone,CCN1CCCC1=O,2687-91-4,5.561,0.7819,0,high-fidelity RED
Isophthalaldehyde,[H]C(C1=CC(C([H])=O)=CC=C1)=O,626-19-7,6.457,0.9834,0.8276472678623424,low-fidelity RED
Phthalaldehyde,[H]C(C1=CC=CC=C1C([H])=O)=O,643-79-8,6.729,0.8755,0.9650129532809396,low-fidelity RED
Furfural,[H]C(C1=CC=CO1)=O,98-01-1,6.464,0.7941,0.9171968163922074,high-fidelity RED
"1,2-Propanediol Dinitrate",[N+](OCC(C)O[N+]([O-])=O)(=O)[O-],6423-43-4,6.409,1.105,0.6499999999999997,low-fidelity RED
Dimethylphosphoric Acid 3-Methyl-4-Nitrophenyl,[O-][N+](=O)c1c(cc(OP(=O)(OC)OC)cc1)C,2255-17-6,5.731,1.359,0.3570714214271425,low-fidelity RED
Oryzalin,[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)S(=O)(=O)N,19044-88-3,5.773,1.322,0.6087897830942967,low-fidelity RED
Metronidazole,[O-][N+](=O)c1cnc(n1CCO)C,443-48-1,7.229,1.371,0.7754031209635414,low-fidelity RED
Metronidazole Benzoate,[O-][N+](=O)c1cnc(n1CCOC(=O)c2ccccc2)C,13182-89-3,6.487,1.386,0.9552486587271399,low-fidelity RED
m-Nitrobenzaldehyde,[O-][N+](C1=CC(C=O)=CC=C1)=O,99-61-6,5.668,1.171,0.9055385138137422,low-fidelity RED
m-Nitroanisole,[O-][N+](C1=CC(OC)=CC=C1)=O,555-03-3,6.057,1.188,0.9688911187538054,low-fidelity RED
p-Nitrobenzaldehyde,[O-][N+](C1=CC=C(C=O)C=C1)=O,555-16-8,6.202,1.161,0.9572094859538327,low-fidelity RED
4-Nitrobenzyl Chloride,[O-][N+](C1=CC=C(CCl)C=C1)=O,100-14-1,6.206,1.181,0.9940447676035518,low-fidelity RED
p-Nitroanisole,[O-][N+](C1=CC=C(OC)C=C1)=O,100-17-4,7.36,1.139,0.8385254915624215,low-fidelity RED
"1,1,2-Tribromo Ethylene",C(=C(Br)Br)Br,598-16-3,5.756,0.771,0.7123903424387504,high-fidelity RED
Fumaronitrile,C(=CC#N)C#N,764-42-1,5.731,0.8949,0.7889866919029753,high-fidelity RED
"3-Chloro-1,2-Propanediol Dinitrate",C(C(CCl)O[N+](=O)[O-])O[N+](=O)[O-],2612-33-1,6.446,1.227,0.37583240945932245,low-fidelity RED
"1,3-Propanediol Dinitrate",C(CO[N+](=O)[O-])CO[N+](=O)[O-],3457-90-7,6.288,0.9732,0.682825014187383,low-fidelity RED
"2,3-Dibromoprene",C=C(C(Br)=C)Br,34994-48-4 ,5.653,0.8558,0.21794494717703383,high-fidelity RED
n-(p-Tolyl)Methacrylamide,C=C(C(NC1=CC=C(C)C=C1)=O)C,,5.911,1.075,0.7228416147400483,low-fidelity RED
Acrylylchloride,C=CC(=O)Cl,814-68-6,5.577,0.9301,0.9899494936611668,high-fidelity RED
2-Cyanoethyl Acrylate,C=CC(=O)OCCC#N,106-71-8,7.108,1.007,0.7044501401802684,low-fidelity RED
2-Vinyl Pyrazine,C=CC1=NC=CN=C1,4177-16-6,6.059,1.16,0.9453835200594519,low-fidelity RED
"Benzene, 1-Ethoxy-2-Nitro-",C1(=C(C=CC=C1)OCC)[N+]([O-])=O,610-67-3,6.45,1.126,0.9192388155425116,low-fidelity RED
Simazine,C1(=NC(=NC(=N1)NCC)NCC)Cl,122-34-9,6.277,1.061,0.8602325267042628,low-fidelity RED
Butadienedioxide,C1(C2OC2)CO1,1464-53-5,5.607,0.8537,0.6500000000000001,high-fidelity RED
Propanil,C1=C(Cl)C(=CC=C1NC(CC)=O)Cl,709-98-8,6.683,1.165,0.9290452088031027,low-fidelity RED
3-Cyanopyridine,C1=CC(=CN=C1)C#N,100-54-9,6.731,1.171,0.8905756565278439,low-fidelity RED
Phenoxyacetaldehyde 50% In Benzyl Alcohol,C1=CC=C(C=C1)OCC=O,2120-70-9,6.979,1.002,0.8280247580839595,low-fidelity RED
Tri-O-Cresyl Phosphate,C1=CC=CC(=C1C)OP(OC2=C(C=CC=C2)C)(=O)OC3=CC=CC=C3C,78-30-8,5.772,1.103,0.7470776398741968,low-fidelity RED
"Acetamide, n-(Phenylmethyl)-",C1=CC=CC=C1CNC(=O)C,588-46-5,7.373,1.016,0.6873863542433759,low-fidelity RED
2-Cyanopyridine,C1=CC=NC(=C1)C#N,100-70-9,6.987,1.111,0.8905756565278439,low-fidelity RED
Pyrazinyl Ethane Thiol,C1=CN=C(C=N1)CCS,35250-53-4,6.469,1.158,0.7960841664045332,low-fidelity RED
4-Cyanopyridine,C1=CN=CC=C1C#N,100-48-1,6.614,1.108,0.8905756565278439,low-fidelity RED
2-Furonitrile,C1=COC(=C1)C#N,617-90-3,6.666,1.086,0.8321658488546616,high-fidelity RED
3-(2-Furyl) Acrolein,C1=COC(=C1)C=CC=O,623-30-3,6.262,1.051,0.7520804478245661,low-fidelity RED
Oxazole,C1=COC=N1,288-42-6,5.619,1.055,0.4808846015417835,low-fidelity RED
5-Bromopyrimidine,c1c(cncn1)Br,4595-59-9,5.745,0.9852,0.8261355820929159,low-fidelity RED
"Propionaldehyde - 2,3-Epoxy",C1C(O1)C=O,765-34-4,5.707,0.9926,0.8215838362577493,high-fidelity RED
4-Hydroxypyrimidine,c1c[nH]cnc1=O,542-27-8,6.861,1.233,0.8385254915624212,low-fidelity RED
Benzo Dihydro Pyrone,C1CC(=O)OC2=CC=CC=C21,119-84-6,7.245,1.04,0.7921489758877436,low-fidelity RED
"2,2,6,6-Tetrachlorocyclohexanone",C1CC(C(=O)C(C1)(Cl)Cl)(Cl)Cl,3776-30-5,6.042,0.8763,0.9182183836103479,high-fidelity RED
2-Cyclohexenone,C1CC=CC(=O)C1,930-68-7,6.467,1.124,0.9669539802906858,low-fidelity RED
"1,2-Cyclohexanedione",C1CCC(=O)C(=O)C1,765-87-7,6.456,0.8297,0.57716981903076,high-fidelity RED
2-Bromopyrimidine,c1cnc(nc1)Br,4595-60-2,6.015,0.9704,0.8261355820929159,low-fidelity RED
"Thiourea, N,N'-Dicyclohexyl-",C2C(NC(=S)NC1CCCCC1)CCCC2,1212-29-9,6.532,1.041,0.8325412902673355,low-fidelity RED
n-Phenylmethacrylamide,CC(=C)C(=O)Nc1ccccc1,1611-83-2,5.877,1.049,0.69462219947249,low-fidelity RED
"1-Phenyl-1,2-Propane Dione",CC(=O)C(=O)C1=CC=CC=C1,579-07-7,6.715,0.8331,0.8891709621889371,low-fidelity RED
Diacetyl Trimer,CC(=O)C1(CC2(C(O1)(OC(O2)(C)C(=O)C)C)O)C,18114-49-3,5.838,1.286,0.4616546328154845,low-fidelity RED
2-Acetyl Pyridine,CC(=O)C1=CC=CC=N1,1122-62-9,7.61,1.176,0.7850159234053788,low-fidelity RED
2-Acetyl Pyrrole,CC(=O)C1=CC=CN1,1072-83-9,6.917,0.9983,0.953283798246881,low-fidelity RED
2-Acetyl-1-Methyl Pyrrole,CC(=O)C1=CC=CN1C,932-16-1,6.487,0.9966,0.9407443861113389,low-fidelity RED
2-Acetyl Furan,CC(=O)C1=CC=CO1,1192-62-7,7.365,1.033,0.6837397165588671,low-fidelity RED
4-Acetyl Pyridine,CC(=O)C1=CC=NC=C1,1122-54-9,6.772,1.031,0.7850159234053788,low-fidelity RED
Acetyl Pyrroline,CC(=O)C1=CCCN1,85213-22-5,6.602,1.146,0.9453835200594519,low-fidelity RED
3-Acetyl Pyridine,CC(=O)C1=CN=CC=C1,350-03-8,6.752,1.116,0.7850159234053788,low-fidelity RED
"5-Acetyl-2,3-Dihydro-1,4-Thiazine",CC(=O)C1=CSCCN1,164524-93-0,6.329,1.158,0.9516433155337143,low-fidelity RED
2-Acetyl Pyrazine,CC(=O)C1=NC=CN=C1,22047-25-2,7.15,1.219,0.6819090848492932,low-fidelity RED
