Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
n-Methyl-2-Pyrrolidone (Nmp),CN1C(CCC1)=O,872-50-4,5.642,0.7663,0,high-fidelity RED
Isophthalaldehyde,[H]C(C1=CC(C([H])=O)=CC=C1)=O,626-19-7,6.457,0.9834,0.8634958019585274,low-fidelity RED
Furfural,[H]C(C1=CC=CO1)=O,98-01-1,6.464,0.7941,0.8877640452282354,high-fidelity RED
"1,2-Propanediol Dinitrate",[N+](OCC(C)O[N+]([O-])=O)(=O)[O-],6423-43-4,6.409,1.105,0.6675514961409342,low-fidelity RED
Dimethylphosphoric Acid 3-Methyl-4-Nitrophenyl,[O-][N+](=O)c1c(cc(OP(=O)(OC)OC)cc1)C,2255-17-6,5.731,1.359,0.34369317712168795,low-fidelity RED
Oryzalin,[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)S(=O)(=O)N,19044-88-3,5.773,1.322,0.5852349955359819,low-fidelity RED
Metronidazole,[O-][N+](=O)c1cnc(n1CCO)C,443-48-1,7.229,1.371,0.7163274390947203,low-fidelity RED
m-Nitrobenzaldehyde,[O-][N+](C1=CC(C=O)=CC=C1)=O,99-61-6,5.668,1.171,0.9017344398435723,low-fidelity RED
p-Nitrobenzaldehyde,[O-][N+](C1=CC=C(C=O)C=C1)=O,555-16-8,6.202,1.161,0.937083240699566,low-fidelity RED
p-Nitroanisole,[O-][N+](C1=CC=C(OC)C=C1)=O,100-17-4,7.36,1.139,0.8965210538520558,low-fidelity RED
"1,1,2-Tribromo Ethylene",C(=C(Br)Br)Br,598-16-3,5.756,0.771,0.7668930825088985,high-fidelity RED
Fumaronitrile,C(=CC#N)C#N,764-42-1,5.731,0.8949,0.7420411039827917,high-fidelity RED
"3-Chloro-1,2-Propanediol Dinitrate",C(C(CCl)O[N+](=O)[O-])O[N+](=O)[O-],2612-33-1,6.446,1.227,0.3051638903933421,low-fidelity RED
"1,3-Propanediol Dinitrate",C(CO[N+](=O)[O-])CO[N+](=O)[O-],3457-90-7,6.288,0.9732,0.6619101147436861,low-fidelity RED
"2,3-Dibromoprene",C=C(C(Br)=C)Br,34994-48-4 ,5.653,0.8558,0.27950849718747384,high-fidelity RED
n-(p-Tolyl)Methacrylamide,C=C(C(NC1=CC=C(C)C=C1)=O)C,,5.911,1.075,0.7909646009778192,low-fidelity RED
2-Cyanoethyl Acrylate,C=CC(=O)OCCC#N,106-71-8,7.108,1.007,0.7318640584152223,low-fidelity RED
Simazine,C1(=NC(=NC(=N1)NCC)NCC)Cl,122-34-9,6.277,1.061,0.8234834546000304,low-fidelity RED
Propanil,C1=C(Cl)C(=CC=C1NC(CC)=O)Cl,709-98-8,6.683,1.165,0.9486832980505142,low-fidelity RED
3-Cyanopyridine,C1=CC(=CN=C1)C#N,100-54-9,6.731,1.171,0.8803408430829504,low-fidelity RED
Phenoxyacetaldehyde 50% In Benzyl Alcohol,C1=CC=C(C=C1)OCC=O,2120-70-9,6.979,1.002,0.8965210538520554,low-fidelity RED
Tri-O-Cresyl Phosphate,C1=CC=CC(=C1C)OP(OC2=C(C=CC=C2)C)(=O)OC3=CC=CC=C3C,78-30-8,5.772,1.103,0.7810249675906655,low-fidelity RED
"Acetamide, n-(Phenylmethyl)-",C1=CC=CC=C1CNC(=O)C,588-46-5,7.373,1.016,0.7180703308172536,low-fidelity RED
2-Cyanopyridine,C1=CC=NC(=C1)C#N,100-70-9,6.987,1.111,0.8803408430829504,low-fidelity RED
Pyrazinyl Ethane Thiol,C1=CN=C(C=N1)CCS,35250-53-4,6.469,1.158,0.8295330011518532,low-fidelity RED
4-Cyanopyridine,C1=CN=CC=C1C#N,100-48-1,6.614,1.108,0.8803408430829504,low-fidelity RED
2-Furonitrile,C1=COC(=C1)C#N,617-90-3,6.666,1.086,0.7470776398741963,high-fidelity RED
3-(2-Furyl) Acrolein,C1=COC(=C1)C=CC=O,623-30-3,6.262,1.051,0.8261355820929155,low-fidelity RED
5-Bromopyrimidine,c1c(cncn1)Br,4595-59-9,5.745,0.9852,0.8143248737451172,low-fidelity RED
"Propionaldehyde - 2,3-Epoxy",C1C(O1)C=O,765-34-4,5.707,0.9926,0.748748956593597,high-fidelity RED
4-Hydroxypyrimidine,c1c[nH]cnc1=O,542-27-8,6.861,1.233,0.8208227579691002,low-fidelity RED
Benzo Dihydro Pyrone,C1CC(=O)OC2=CC=CC=C21,119-84-6,7.245,1.04,0.8591420138719799,low-fidelity RED
"2,2,6,6-Tetrachlorocyclohexanone",C1CC(C(=O)C(C1)(Cl)Cl)(Cl)Cl,3776-30-5,6.042,0.8763,0.890926484060273,high-fidelity RED
"1,2-Cyclohexanedione",C1CCC(=O)C(=O)C1,765-87-7,6.456,0.8297,0.616441400296898,high-fidelity RED
2-Bromopyrimidine,c1cnc(nc1)Br,4595-60-2,6.015,0.9704,0.8143248737451172,low-fidelity RED
"1,4-Dioxan-2-On",C1COC(=O)CO1,3041-16-5,6.547,0.9457,0.9791578013783069,low-fidelity RED
"Thiourea, N,N'-Dicyclohexyl-",C2C(NC(=S)NC1CCCCC1)CCCC2,1212-29-9,6.532,1.041,0.8965210538520554,low-fidelity RED
n-Phenylmethacrylamide,CC(=C)C(=O)Nc1ccccc1,1611-83-2,5.877,1.049,0.7619875327064086,low-fidelity RED
"1-Phenyl-1,2-Propane Dione",CC(=O)C(=O)C1=CC=CC=C1,579-07-7,6.715,0.8331,0.9650129532809394,low-fidelity RED
Diacetyl Trimer,CC(=O)C1(CC2(C(O1)(OC(O2)(C)C(=O)C)C)O)C,18114-49-3,5.838,1.286,0.5012484413940855,low-fidelity RED
2-Acetyl Pyridine,CC(=O)C1=CC=CC=N1,1122-62-9,7.61,1.176,0.8444672877027267,low-fidelity RED
2-Acetyl Pyrrole,CC(=O)C1=CC=CN1,1072-83-9,6.917,0.9983,0.9370832406995657,low-fidelity RED
